CourseTitle ,Term ,Faculty ,CourseSection ,Phase ,Area ,Campus ,Meeting Pattern ,Bids ,Closing Cost ,Seats Available ,Total seats ,Enrolled ,Program ,WaitList ,OpenSeats
Advertising Strategy ,Fall 2015 ,"Sternthal, Brian" ,MKTG-454-0 (61) ,Fall 2015 Bid to Waitlist ,MKTG ,Evanston ,Tue/Fri 1:30PM - 3:00PM ,0 ,0 ,14 ,65 ,0 ,Full-Time ,0 ,14
Marketing Strategy for Growth and Defense ,Fall 2015 ,"Krishnamurthi, Lakshman" ,MKTG-466-0 (31) ,Fall 2015 Bid to Waitlist ,MKTG ,Chicago ,Tue 6:00PM - 9:00PM ,0 ,0 ,0 ,5 ,0 ,Full-Time ,0 ,0
Marketing Strategy for Growth and Defense ,Fall 2015 ,"Calkins, Timothy" ,MKTG-466-0 (61) ,Fall 2015 Bid to Waitlist ,MKTG ,Evanston ,Tue/Fri 8:30AM - 10:00AM ,0 ,0 ,0 ,65 ,0 ,Full-Time ,0 ,0
Marketing Strategy for Growth and Defense ,Fall 2015 ,"Calkins, Timothy" ,MKTG-466-0 (62) ,Fall 2015 Bid to Waitlist ,MKTG ,Evanston ,Tue/Fri 10:30AM - 12:00PM ,0 ,0 ,2 ,65 ,0 ,Full-Time ,0 ,2
Strategic Brand Management ,Fall 2015 ,"Roese, Neal" ,MKTG-925-0 (81) ,Fall 2015 Bid to Waitlist ,MKTG ,Evanston ,Wed 6:30PM - 9:30PM ,1 ,0 ,0 ,25 ,0 ,Full-Time ,1 ,0
Creative on Demand: Brand Management 24/7 ,Fall 2015 ,"Johnston, Melanie" ,MKTG-926-5 (81) ,Fall 2015 Bid to Waitlist ,MKTG ,Evanston ,Thu 6:30PM - 9:30PM ,0 ,0 ,0 ,20 ,0 ,Full-Time ,0 ,0
C Suite and Boardroom Dynamics ,Fall 2015 ,"Patel, Homi" ,MKTG-940-0 (30) ,Fall 2015 Bid to Waitlist ,MKTG ,Chicago ,Mon 6:00PM - 9:00PM ,1 ,0 ,0 ,5 ,0 ,Full-Time ,1 ,0
Customer Analytics ,Fall 2015 ,"Zettelmeyer, Florian" ,MKTG-953-0 (61) ,Fall 2015 Bid to Waitlist ,MKTG ,Evanston ,Mon/Thu 8:30AM - 10:00AM ,4 ,0 ,0 ,70 ,0 ,Full-Time ,4 ,0
Digital Marketing Analytics ,Fall 2015 ,"Cutler, Jennifer" ,MKTG-955-0 (61) ,Fall 2015 Bid to Waitlist ,MKTG ,Evanston ,Tue/Fri 1:30PM - 3:00PM ,0 ,0 ,17 ,65 ,0 ,Full-Time ,0 ,17
Entrepreneurial Tools for Digital Marketing ,Fall 2015 ,"Johnson, Sean" ,MKTG-961-5 (81) ,Fall 2015 Bid to Waitlist ,MKTG ,Evanston ,Tue 6:30PM - 9:30PM ,0 ,0 ,0 ,60 ,0 ,Full-Time ,0 ,0
Entrepreneurial Selling: Business to Business ,Fall 2015 ,"Aiello, John" ,MKTG-962-5 (81) ,Fall 2015 Bid to Waitlist ,MKTG ,Evanston ,Tue 6:30PM - 9:30PM ,1 ,0 ,0 ,35 ,0 ,Full-Time ,1 ,0
Creating and Managing Strategic Alliances ,Fall 2015 ,"Zajac, Edward" ,MORS-454-5 (81) ,Fall 2015 Bid to Waitlist ,MORS ,Evanston ,Wed 6:30PM - 9:30PM ,1 ,0 ,0 ,55 ,0 ,Full-Time ,1 ,0
Leading and Managing Teams ,Fall 2015 ,"Kouchaki, Maryam" ,MORS-460-0 (80) ,Fall 2015 Bid to Waitlist ,MORS ,Evanston ,Fri 1:30PM - 4:30PM ,0 ,0 ,0 ,30 ,0 ,Full-Time ,0 ,0
Negotiations Fundamentals ,Fall 2015 ,"Finkel, Eli" ,MORS-472-5 (61) ,Fall 2015 Bid to Waitlist ,MORS ,Evanston ,Tue 1:30PM - 4:30PM ,0 ,0 ,0 ,36 ,0 ,Full-Time ,0 ,0
Negotiations Fundamentals ,Fall 2015 ,"Finkel, Eli" ,MORS-472-5 (80) ,Fall 2015 Bid to Waitlist ,MORS ,Evanston ,Fri 1:30PM - 4:30PM ,0 ,0 ,0 ,30 ,0 ,Full-Time ,0 ,0
Cross-Cultural Negotiation ,Fall 2015 ,"Brett, Jeanne" ,MORS-474-0 (61) ,Fall 2015 Bid to Waitlist ,MORS ,Evanston ,Tue 1:30PM - 4:30PM ,3 ,0 ,0 ,36 ,0 ,Full-Time ,3 ,0
Managing in Professonal Service Firms ,Fall 2015 ,"Bette, Gerhard" ,MORS-934-0 (81) ,Fall 2015 Bid to Waitlist ,MORS ,Evanston ,Tue 6:30PM - 9:30PM ,0 ,0 ,0 ,25 ,0 ,Full-Time ,0 ,0
"Entrepreneurship: Building Innovation, Teams, and Cultures" ,Fall 2015 ,"Dwyer, Joe" ,MORS-952-5 (81) ,Fall 2015 Bid to Waitlist ,MORS ,Evanston ,Tue 6:30PM - 9:30PM ,0 ,0 ,0 ,55 ,0 ,Full-Time ,1 ,0
Analytical Decision Modeling ,Fall 2015 ,"Deshmukh, Sudhakar" ,OPNS-450-0 (61) ,Fall 2015 Bid to Waitlist ,OPNS ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,0 ,0 ,0 ,58 ,0 ,Full-Time ,0 ,0
Supply Chain Management ,Fall 2015 ,"Chopra, Sunil" ,OPNS-455-0 (61) ,Fall 2015 Bid to Waitlist ,OPNS ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,3 ,0 ,0 ,65 ,0 ,Full-Time ,3 ,0
Scaling Operations: Linking Strategy and Execution ,Fall 2015 ,"Allon, Gad" ,OPNS-955-5 (81) ,Fall 2015 Bid to Waitlist ,OPNS ,Evanston ,Thu 6:30PM - 9:30PM ,0 ,0 ,0 ,55 ,0 ,Full-Time ,0 ,0
Service Operations ,Fall 2015 ,"Gurvich, Itai" ,OPNS-482-0 (61) ,Fall 2015 Bid to Waitlist ,OPNS ,Evanston ,Tue/Fri 10:30AM - 12:00PM ,0 ,0 ,39 ,63 ,0 ,Full-Time ,0 ,39
Real Estate Development ,Fall 2015 ,"Cocagne, David" ,REAL-444-0 (81) ,Fall 2015 Bid to Waitlist ,REAL ,Evanston ,Tue 6:30PM - 9:30PM ,0 ,0 ,14 ,55 ,0 ,Full-Time ,0 ,14
Healthcare Economics ,Fall 2015 ,"Dranove, David" ,STRT-444-0 (81) ,Fall 2015 Bid to Waitlist ,STRT ,Evanston ,Mon 6:30PM - 9:30PM ,0 ,0 ,29 ,55 ,0 ,Full-Time ,0 ,29
Strategy and Organization ,Fall 2015 ,"Matouschek, Niko" ,STRT-452-0 (61) ,Fall 2015 Bid to Waitlist ,STRT ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,0 ,0 ,0 ,65 ,0 ,Full-Time ,0 ,0
Strategy and Organization ,Fall 2015 ,"Matouschek, Niko" ,STRT-452-0 (62) ,Fall 2015 Bid to Waitlist ,STRT ,Evanston ,Mon/Thu 3:30PM - 5:00PM ,0 ,0 ,0 ,65 ,0 ,Full-Time ,0 ,0
International Business Strategy ,Fall 2015 ,"Spulber, Daniel" ,STRT-460-0 (81) ,Fall 2015 Bid to Waitlist ,STRT ,Evanston ,Mon 6:30PM - 9:30PM ,0 ,0 ,11 ,55 ,0 ,Full-Time ,0 ,11
Strategic Challenges in Emerging Markets ,Fall 2015 ,"Jones, Benjamin" ,STRT-466-0 (61) ,Fall 2015 Bid to Waitlist ,STRT ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,0 ,0 ,1 ,66 ,0 ,Full-Time ,0 ,1
Strategic Challenges in Emerging Markets ,Fall 2015 ,"Jones, Benjamin" ,STRT-466-0 (62) ,Fall 2015 Bid to Waitlist ,STRT ,Evanston ,Mon/Thu 3:30PM - 5:00PM ,0 ,0 ,0 ,66 ,0 ,Full-Time ,0 ,0
